product_id,product_name,category,description,material,grade,size,price,unit,MOQ,supplier,location,availability,rating
P0035,Industrial Bearing,Hardware,Industrial quality product suitable for bulk commercial procurement. Industrial Bearing in 6202 specification.,Chrome Steel,6200 Series,6202,114.72,kg,100,Prime Traders,Coimbatore,In Stock,4.4
P0036,Industrial Electrical Switch,Electrical,Reliable supplier-grade material for manufacturing and industrial use. Industrial Electrical Switch in 16A specification.,Polycarbonate,Heavy Duty,16A,853.65,kg,50,ABC Industries,Chennai,In Stock,4.5
P0037,PET Packaging Bottle,Packaging,Reliable supplier-grade material for manufacturing and industrial use. PET Packaging Bottle in 1 L specification.,PET,Food Grade,1 L,42.87,piece,100,Universal B2B Supplies,Kolkata,Limited Stock,3.5
P0038,PET Packaging Bottle,Packaging,Industrial quality product suitable for bulk commercial procurement. PET Packaging Bottle in 1 L specification.,PET,Food Grade,1 L,203.63,box,100,Universal B2B Supplies,Kolkata,Limited Stock,4.8
P0039,Stainless Steel Nut,Hardware,Industrial quality product suitable for bulk commercial procurement. Stainless Steel Nut in M8 specification.,Stainless Steel,304,M8,525.79,piece,100,Kaveri Industrial Solutions,Madurai,In Stock,4.1
P0040,Caustic Soda Flakes,Chemicals,"Suitable for wholesale buyers, distributors, and regular business orders. Caustic Soda Flakes in 50 kg specification.",Sodium Hydroxide,Industrial Grade,50 kg,338.67,meter,500,Global Trade Hub,Mumbai,In Stock,3.7
P0041,Citric Acid Powder,Chemicals,"Suitable for wholesale buyers, distributors, and regular business orders. Citric Acid Powder in 50 kg specification.",Citric Acid,Food Grade,50 kg,98.78,meter,50,ABC Industries,Chennai,Limited Stock,4.4
P0042,Automotive Brake Pad,Automotive,Quality-tested product with bulk supply capability. Automotive Brake Pad in Rear specification.,Semi Metallic,OEM Grade,Rear,2402.43,kg,500,Evergreen Manufacturing,Ahmedabad,In Stock,4.3
P0043,Engine Oil Filter,Automotive,"Suitable for wholesale buyers, distributors, and regular business orders. Engine Oil Filter in Medium specification.",Steel,OEM Grade,Medium,979.19,box,250,South India Materials,Salem,In Stock,4.6
P0044,Calcium Carbonate Powder,Chemicals,Reliable supplier-grade material for manufacturing and industrial use. Calcium Carbonate Powder in 1000 kg specification.,Calcium Carbonate,Industrial Grade,1000 kg,196.78,box,250,South India Materials,Salem,In Stock,4.1
P0045,CNC Turning Machine,Machinery,"Suitable for wholesale buyers, distributors, and regular business orders. CNC Turning Machine in 3 Axis specification.",Cast Iron,CNC,3 Axis,340063.9,piece,1,South India Materials,Salem,In Stock,3.8
P0046,AAC Block,Construction Materials,Quality-tested product with bulk supply capability. AAC Block in 600x200x150 mm specification.,Autoclaved Aerated Concrete,Grade 4,600x200x150 mm,801.47,piece,250,Kaveri Industrial Solutions,Madurai,In Stock,4.5
P0047,Calcium Carbonate Powder,Chemicals,Reliable supplier-grade material for manufacturing and industrial use. Calcium Carbonate Powder in 25 kg specification.,Calcium Carbonate,Industrial Grade,25 kg,352.76,piece,1000,Metro Industrial Supplies,Bengaluru,In Stock,3.5
P0048,Industrial Polyester Yarn,Textiles,Quality-tested product with bulk supply capability. Industrial Polyester Yarn in 40s specification.,Polyester,Spun,40s,475.22,piece,500,Prime Traders,Coimbatore,Limited Stock,4.1
P0049,Copper Electrical Cable,Electrical,Reliable supplier-grade material for manufacturing and industrial use. Copper Electrical Cable in 1.5 sq mm specification.,Copper,FR,1.5 sq mm,640.84,meter,10,South India Materials,Salem,In Stock,4.2
P0050,Door Hinge,Hardware,Quality-tested product with bulk supply capability. Door Hinge in 4 inch specification.,Stainless Steel,Heavy Duty,4 inch,1222.88,kg,500,Evergreen Manufacturing,Ahmedabad,In Stock,4.6
P0051,Industrial Bearing,Hardware,Quality-tested product with bulk supply capability. Industrial Bearing in 6205 specification.,Chrome Steel,6200 Series,6205,1260.11,box,1000,Metro Industrial Supplies,Bengaluru,In Stock,3.9
P0052,PVC Resin,Plastic,Reliable supplier-grade material for manufacturing and industrial use. PVC Resin in 25 kg specification.,PVC,K67,25 kg,147.24,kg,25,National Engineering Works,Hyderabad,In Stock,4.1
P0053,MCB Circuit Breaker,Electrical,Industrial quality product suitable for bulk commercial procurement. MCB Circuit Breaker in 6A specification.,Thermoplastic,B Curve,6A,1090.09,meter,100,South India Materials,Salem,In Stock,4.7
P0054,Industrial Air Compressor,Machinery,"Suitable for wholesale buyers, distributors, and regular business orders. Industrial Air Compressor in 15 HP specification.",Cast Iron,Reciprocating,15 HP,299263.35,piece,2,South India Materials,Salem,Limited Stock,4.8
P0055,CNC Turning Machine,Machinery,Industrial quality product suitable for bulk commercial procurement. CNC Turning Machine in 3 Axis specification.,Cast Iron,CNC,3 Axis,181937.8,piece,2,Metro Industrial Supplies,Bengaluru,Limited Stock,4.0
P0056,CNC Turning Machine,Machinery,Industrial quality product suitable for bulk commercial procurement. CNC Turning Machine in 3 Axis specification.,Cast Iron,CNC,3 Axis,588915.14,piece,5,Sri Lakshmi Enterprises,Erode,Limited Stock,4.4
P0057,Stainless Steel Pipe 304,Steel,"Suitable for wholesale buyers, distributors, and regular business orders. Stainless Steel Pipe 304 in 4 inch specification.",Stainless steel,304,4 inch,400.74,piece,10,Sri Lakshmi Enterprises,Erode,Limited Stock,4.0
P0058,Door Hinge,Hardware,Industrial quality product suitable for bulk commercial procurement. Door Hinge in 4 inch specification.,Stainless Steel,Heavy Duty,4 inch,418.83,box,250,South India Materials,Salem,Limited Stock,3.5
P0059,Automotive Brake Pad,Automotive,Industrial quality product suitable for bulk commercial procurement. Automotive Brake Pad in Rear specification.,Semi Metallic,OEM Grade,Rear,7854.21,kg,1000,Metro Industrial Supplies,Bengaluru,In Stock,3.8
P0060,Carbon Steel Pipe,Steel,Reliable supplier-grade material for manufacturing and industrial use. Carbon Steel Pipe in 2 inch specification.,Carbon steel,IS 2062,2 inch,255.22,kg,250,Sri Lakshmi Enterprises,Erode,Limited Stock,4.5
P0061,PP Woven Sack,Packaging,Industrial quality product suitable for bulk commercial procurement. PP Woven Sack in 25 kg specification.,Polypropylene,Laminated,25 kg,241.36,piece,1000,Sri Lakshmi Enterprises,Erode,In Stock,4.4
P0062,Industrial Water Pump,Machinery,Reliable supplier-grade material for manufacturing and industrial use. Industrial Water Pump in 10 HP specification.,Cast Iron,Centrifugal,10 HP,68697.97,piece,5,Metro Industrial Supplies,Bengaluru,In Stock,4.5
P0063,Caustic Soda Flakes,Chemicals,"Suitable for wholesale buyers, distributors, and regular business orders. Caustic Soda Flakes in 25 kg specification.",Sodium Hydroxide,Industrial Grade,25 kg,289.74,box,10,Global Trade Hub,Mumbai,In Stock,4.8
P0064,Hex Bolt,Hardware,Quality-tested product with bulk supply capability. Hex Bolt in M12 specification.,Carbon Steel,Grade 8.8,M12,954.11,box,100,Global Trade Hub,Mumbai,In Stock,4.6
P0065,Titanium Dioxide,Chemicals,Reliable supplier-grade material for manufacturing and industrial use. Titanium Dioxide in 500 kg specification.,Titanium Dioxide,Rutile Grade,500 kg,421.58,box,50,South India Materials,Salem,In Stock,3.9
P0066,Stainless Steel Nut,Hardware,Industrial quality product suitable for bulk commercial procurement. Stainless Steel Nut in M12 specification.,Stainless Steel,304,M12,916.28,box,250,Evergreen Manufacturing,Ahmedabad,Limited Stock,4.8
P0067,Industrial Electrical Switch,Electrical,"Suitable for wholesale buyers, distributors, and regular business orders. Industrial Electrical Switch in 16A specification.",Polycarbonate,Heavy Duty,16A,2018.84,box,50,Global Trade Hub,Mumbai,In Stock,4.3
P0068,100% Cotton T-Shirt,Textiles,Quality-tested product with bulk supply capability. 100% Cotton T-Shirt in M specification.,Cotton,Combed,M,437.01,piece,500,Universal B2B Supplies,Kolkata,Limited Stock,4.2
P0069,Stainless Steel Pipe 304,Steel,"Suitable for wholesale buyers, distributors, and regular business orders. Stainless Steel Pipe 304 in 3 inch specification.",Stainless steel,304,3 inch,229.63,piece,50,Metro Industrial Supplies,Bengaluru,Limited Stock,4.3
P0070,PET Packaging Bottle,Packaging,"Suitable for wholesale buyers, distributors, and regular business orders. PET Packaging Bottle in 1 L specification.",PET,Food Grade,1 L,86.04,kg,500,Techno Supply Co,Pune,In Stock,3.9
P0071,PP Granules,Plastic,Reliable supplier-grade material for manufacturing and industrial use. PP Granules in 500 kg specification.,Polypropylene,Injection Grade,500 kg,240.86,piece,25,Prime Traders,Coimbatore,Limited Stock,3.9
P0072,AAC Block,Construction Materials,"Suitable for wholesale buyers, distributors, and regular business orders. AAC Block in 600x200x100 mm specification.",Autoclaved Aerated Concrete,Grade 4,600x200x100 mm,540.28,box,25,Metro Industrial Supplies,Bengaluru,In Stock,4.6
P0073,LED Panel Light,Electrical,Quality-tested product with bulk supply capability. LED Panel Light in 12W specification.,Aluminium,Commercial,12W,1436.99,piece,500,ABC Industries,Chennai,In Stock,4.8
P0074,AAC Block,Construction Materials,"Suitable for wholesale buyers, distributors, and regular business orders. AAC Block in 600x200x150 mm specification.",Autoclaved Aerated Concrete,Grade 4,600x200x150 mm,798.44,piece,10,Kaveri Industrial Solutions,Madurai,Limited Stock,3.7
P0075,LDPE Film Roll,Plastic,Reliable supplier-grade material for manufacturing and industrial use. LDPE Film Roll in 100 micron specification.,LDPE,Film Grade,100 micron,202.71,kg,25,Prime Traders,Coimbatore,In Stock,3.6
P0076,100% Cotton T-Shirt,Textiles,Quality-tested product with bulk supply capability. 100% Cotton T-Shirt in XL specification.,Cotton,Combed,XL,584.98,piece,1000,Evergreen Manufacturing,Ahmedabad,Limited Stock,4.9
P0077,Titanium Dioxide,Chemicals,Reliable supplier-grade material for manufacturing and industrial use. Titanium Dioxide in 500 kg specification.,Titanium Dioxide,Rutile Grade,500 kg,329.46,kg,1000,Evergreen Manufacturing,Ahmedabad,In Stock,3.9
P0078,PP Granules,Plastic,Quality-tested product with bulk supply capability. PP Granules in 25 kg specification.,Polypropylene,Injection Grade,25 kg,196.96,piece,10,Sri Lakshmi Enterprises,Erode,Limited Stock,4.5
P0079,Door Hinge,Hardware,Industrial quality product suitable for bulk commercial procurement. Door Hinge in 3 inch specification.,Stainless Steel,Heavy Duty,3 inch,433.58,box,500,Metro Industrial Supplies,Bengaluru,In Stock,4.9
P0080,Ceramic Wall Tile,Construction Materials,Reliable supplier-grade material for manufacturing and industrial use. Ceramic Wall Tile in 300x600 mm specification.,Ceramic,Glossy,300x600 mm,984.77,piece,50,Prime Traders,Coimbatore,In Stock,3.6
P0081,Calcium Carbonate Powder,Chemicals,Quality-tested product with bulk supply capability. Calcium Carbonate Powder in 500 kg specification.,Calcium Carbonate,Industrial Grade,500 kg,260.91,box,500,Prime Traders,Coimbatore,In Stock,4.3
P0082,Industrial Bearing,Hardware,"Suitable for wholesale buyers, distributors, and regular business orders. Industrial Bearing in 6202 specification.",Chrome Steel,6200 Series,6202,61.71,box,250,Evergreen Manufacturing,Ahmedabad,In Stock,3.6
P0083,Portland Cement,Construction Materials,Quality-tested product with bulk supply capability. Portland Cement in 50 kg specification.,Cement,OPC 53 Grade,50 kg,82.01,piece,100,Evergreen Manufacturing,Ahmedabad,In Stock,3.8
P0084,Construction Plywood,Construction Materials,Quality-tested product with bulk supply capability. Construction Plywood in 18 mm specification.,Hardwood,MR Grade,18 mm,1744.61,meter,50,Kaveri Industrial Solutions,Madurai,In Stock,4.0
P0085,PP Granules,Plastic,Quality-tested product with bulk supply capability. PP Granules in 500 kg specification.,Polypropylene,Injection Grade,500 kg,229.54,box,500,South India Materials,Salem,In Stock,4.2
P0086,Stretch Film Roll,Packaging,Industrial quality product suitable for bulk commercial procurement. Stretch Film Roll in 30 micron specification.,LLDPE,Industrial,30 micron,242.7,box,1000,Prime Traders,Coimbatore,Limited Stock,4.1
P0087,Cotton Grey Fabric,Textiles,"Suitable for wholesale buyers, distributors, and regular business orders. Cotton Grey Fabric in 60 inch specification.",Cotton,Greige,60 inch,607.82,kg,25,Kaveri Industrial Solutions,Madurai,In Stock,4.9
P0088,Industrial Bearing,Hardware,Reliable supplier-grade material for manufacturing and industrial use. Industrial Bearing in 6202 specification.,Chrome Steel,6200 Series,6202,1459.77,kg,100,ABC Industries,Chennai,In Stock,4.3
P0089,Lead Acid Automotive Battery,Automotive,Industrial quality product suitable for bulk commercial procurement. Lead Acid Automotive Battery in 35 Ah specification.,Lead Acid,Maintenance Free,35 Ah,11908.25,kg,100,Metro Industrial Supplies,Bengaluru,In Stock,4.2
P0090,Calcium Carbonate Powder,Chemicals,Reliable supplier-grade material for manufacturing and industrial use. Calcium Carbonate Powder in 500 kg specification.,Calcium Carbonate,Industrial Grade,500 kg,491.11,piece,100,Kaveri Industrial Solutions,Madurai,Limited Stock,3.8
P0091,Ceramic Wall Tile,Construction Materials,"Suitable for wholesale buyers, distributors, and regular business orders. Ceramic Wall Tile in 300x450 mm specification.",Ceramic,Glossy,300x450 mm,1393.09,meter,50,National Engineering Works,Hyderabad,In Stock,3.9
P0092,Titanium Dioxide,Chemicals,Quality-tested product with bulk supply capability. Titanium Dioxide in 25 kg specification.,Titanium Dioxide,Rutile Grade,25 kg,292.36,box,50,Kaveri Industrial Solutions,Madurai,Limited Stock,4.9
P0093,Polyester Fabric Roll,Textiles,"Suitable for wholesale buyers, distributors, and regular business orders. Polyester Fabric Roll in 2 m specification.",Polyester,Knitted,2 m,302.18,meter,10,South India Materials,Salem,Limited Stock,4.6
P0094,Industrial Water Pump,Machinery,Industrial quality product suitable for bulk commercial procurement. Industrial Water Pump in 10 HP specification.,Cast Iron,Centrifugal,10 HP,588970.43,piece,2,Apex Components,Delhi,In Stock,4.3
P0095,AAC Block,Construction Materials,Reliable supplier-grade material for manufacturing and industrial use. AAC Block in 600x200x100 mm specification.,Autoclaved Aerated Concrete,Grade 4,600x200x100 mm,188.48,meter,10,Kaveri Industrial Solutions,Madurai,Limited Stock,4.8
P0096,Copper Electrical Cable,Electrical,Industrial quality product suitable for bulk commercial procurement. Copper Electrical Cable in 6 sq mm specification.,Copper,FR,6 sq mm,925.78,meter,500,National Engineering Works,Hyderabad,In Stock,4.8
P0097,Lead Acid Automotive Battery,Automotive,Industrial quality product suitable for bulk commercial procurement. Lead Acid Automotive Battery in 55 Ah specification.,Lead Acid,Maintenance Free,55 Ah,8666.8,meter,1000,Apex Components,Delhi,In Stock,3.9
P0098,Citric Acid Powder,Chemicals,Reliable supplier-grade material for manufacturing and industrial use. Citric Acid Powder in 25 kg specification.,Citric Acid,Food Grade,25 kg,490.25,kg,100,South India Materials,Salem,In Stock,4.9
P0099,GI Steel Sheet,Steel,Reliable supplier-grade material for manufacturing and industrial use. GI Steel Sheet in 0.5 mm specification.,Galvanized steel,IS 277,0.5 mm,212.63,meter,25,National Engineering Works,Hyderabad,Limited Stock,4.3
P0100,MCB Circuit Breaker,Electrical,Reliable supplier-grade material for manufacturing and industrial use. MCB Circuit Breaker in 16A specification.,Thermoplastic,B Curve,16A,1570.59,meter,250,Prime Traders,Coimbatore,Limited Stock,4.9
P0101,MCB Circuit Breaker,Electrical,Industrial quality product suitable for bulk commercial procurement. MCB Circuit Breaker in 63A specification.,Thermoplastic,B Curve,63A,724.47,box,500,Apex Components,Delhi,Limited Stock,4.9
P0102,Engine Oil Filter,Automotive,Quality-tested product with bulk supply capability. Engine Oil Filter in Small specification.,Steel,OEM Grade,Small,11351.04,box,500,Kaveri Industrial Solutions,Madurai,In Stock,4.2
P0103,Citric Acid Powder,Chemicals,"Suitable for wholesale buyers, distributors, and regular business orders. Citric Acid Powder in 50 kg specification.",Citric Acid,Food Grade,50 kg,97.99,meter,250,Kaveri Industrial Solutions,Madurai,In Stock,5.0
P0104,Caustic Soda Flakes,Chemicals,Quality-tested product with bulk supply capability. Caustic Soda Flakes in 50 kg specification.,Sodium Hydroxide,Industrial Grade,50 kg,53.64,kg,250,National Engineering Works,Hyderabad,In Stock,4.7
P0105,Cotton Grey Fabric,Textiles,Reliable supplier-grade material for manufacturing and industrial use. Cotton Grey Fabric in 44 inch specification.,Cotton,Greige,44 inch,268.3,box,500,Apex Components,Delhi,In Stock,4.9
P0106,GI Steel Sheet,Steel,"Suitable for wholesale buyers, distributors, and regular business orders. GI Steel Sheet in 2 mm specification.",Galvanized steel,IS 277,2 mm,294.44,piece,10,ABC Industries,Chennai,In Stock,4.6
P0107,MCB Circuit Breaker,Electrical,"Suitable for wholesale buyers, distributors, and regular business orders. MCB Circuit Breaker in 16A specification.",Thermoplastic,B Curve,16A,2205.98,box,250,Techno Supply Co,Pune,In Stock,3.9
P0108,Door Hinge,Hardware,Reliable supplier-grade material for manufacturing and industrial use. Door Hinge in 5 inch specification.,Stainless Steel,Heavy Duty,5 inch,1206.74,box,50,Global Trade Hub,Mumbai,In Stock,4.8
P0109,Hydraulic Press Machine,Machinery,Industrial quality product suitable for bulk commercial procurement. Hydraulic Press Machine in 20 Ton specification.,Steel,Hydraulic,20 Ton,33003.23,piece,5,South India Materials,Salem,Limited Stock,4.1
P0110,Titanium Dioxide,Chemicals,"Suitable for wholesale buyers, distributors, and regular business orders. Titanium Dioxide in 500 kg specification.",Titanium Dioxide,Rutile Grade,500 kg,353.68,meter,10,Prime Traders,Coimbatore,In Stock,4.5
P0111,Door Hinge,Hardware,"Suitable for wholesale buyers, distributors, and regular business orders. Door Hinge in 5 inch specification.",Stainless Steel,Heavy Duty,5 inch,176.78,piece,50,South India Materials,Salem,Limited Stock,3.7
P0112,Polyester Fabric Roll,Textiles,Reliable supplier-grade material for manufacturing and industrial use. Polyester Fabric Roll in 1.8 m specification.,Polyester,Knitted,1.8 m,409.39,meter,250,Kaveri Industrial Solutions,Madurai,Limited Stock,4.5
P0113,Industrial Bearing,Hardware,Quality-tested product with bulk supply capability. Industrial Bearing in 6205 specification.,Chrome Steel,6200 Series,6205,1036.04,piece,500,ABC Industries,Chennai,In Stock,4.8
P0114,PVC Resin,Plastic,Reliable supplier-grade material for manufacturing and industrial use. PVC Resin in 1000 kg specification.,PVC,K67,1000 kg,152.49,meter,50,Apex Components,Delhi,In Stock,4.9
P0115,Hex Bolt,Hardware,"Suitable for wholesale buyers, distributors, and regular business orders. Hex Bolt in M8 specification.",Carbon Steel,Grade 8.8,M8,959.96,piece,50,Apex Components,Delhi,In Stock,5.0
P0116,Ceramic Wall Tile,Construction Materials,Reliable supplier-grade material for manufacturing and industrial use. Ceramic Wall Tile in 300x450 mm specification.,Ceramic,Glossy,300x450 mm,380.81,piece,1000,Techno Supply Co,Pune,In Stock,4.7
P0117,Portland Cement,Construction Materials,Reliable supplier-grade material for manufacturing and industrial use. Portland Cement in 50 kg specification.,Cement,OPC 53 Grade,50 kg,1777.67,box,1000,Sri Lakshmi Enterprises,Erode,In Stock,4.5
P0118,Carbon Steel Pipe,Steel,"Suitable for wholesale buyers, distributors, and regular business orders. Carbon Steel Pipe in 1 inch specification.",Carbon steel,IS 2062,1 inch,372.29,piece,250,Global Trade Hub,Mumbai,In Stock,3.8
P0119,Carbon Steel Pipe,Steel,Quality-tested product with bulk supply capability. Carbon Steel Pipe in 4 inch specification.,Carbon steel,IS 2062,4 inch,122.05,kg,100,Techno Supply Co,Pune,In Stock,4.3
P0120,LDPE Film Roll,Plastic,"Suitable for wholesale buyers, distributors, and regular business orders. LDPE Film Roll in 150 micron specification.",LDPE,Film Grade,150 micron,287.45,kg,500,Metro Industrial Supplies,Bengaluru,Limited Stock,4.5
P0121,Stainless Steel Pipe 304,Steel,Quality-tested product with bulk supply capability. Stainless Steel Pipe 304 in 4 inch specification.,Stainless steel,304,4 inch,237.72,kg,100,South India Materials,Salem,In Stock,4.8
P0122,PP Woven Sack,Packaging,"Suitable for wholesale buyers, distributors, and regular business orders. PP Woven Sack in 25 kg specification.",Polypropylene,Laminated,25 kg,72.38,kg,1000,Sri Lakshmi Enterprises,Erode,Limited Stock,5.0
P0123,Automotive Rubber Hose,Automotive,Industrial quality product suitable for bulk commercial procurement. Automotive Rubber Hose in 3/4 inch specification.,EPDM Rubber,Heat Resistant,3/4 inch,7324.31,kg,1000,Techno Supply Co,Pune,In Stock,4.1
